,mcmc_0,mcmc_1,mcmc_2,mcmc_3,mcmc_4,mcmc_5,mcmc_6,mcmc_7,mcmc_8,mcmc_9
0,0.0,-2.0,2.0,2.0,-2.0,-4.0,-2.0,0.0,-4.0,0.0
1,-0.5,-2.0,0.0,2.0,-1.5,-4.0,-2.0,-1.5,-2.0,0.0
2,-0.6666666666666666,-2.0,-0.3333333333333333,2.0,-1.6666666666666665,-4.0,-2.0,-2.0,-2.0,0.0
3,-0.8333333333333334,-2.0,-0.16666666666666666,2.0,-1.75,-4.0,-2.0,-1.3333333333333333,-2.0,0.0
4,-0.9333333333333335,-2.0,-0.13333333333333333,2.0,-1.8,-4.0,-2.0,-1.3333333333333333,-2.0,0.0
5,-1.0,-0.9999999999999999,-0.25,0.8333333333333333,-1.8333333333333333,-1.6666666666666665,-2.0,-1.0833333333333333,-1.9999999999999998,-0.1111111111111111
6,-1.0476190476190474,-0.9999999999999999,-0.3571428571428571,0.7142857142857142,-1.0476190476190474,-1.4285714285714284,-2.0,-1.1428571428571428,-2.0,0.0
7,-0.75,-1.0,-0.4375,0.625,-0.9166666666666666,-0.8333333333333334,-2.0,-1.1875,-2.0,0.0
8,-0.7222222222222223,-0.8148148148148148,-0.5,0.5555555555555556,-0.8148148148148149,-0.7407407407407408,-2.0,-1.2222222222222223,-2.0,0.0
9,-0.7000000000000001,-0.9333333333333335,-0.55,0.5,-0.7333333333333334,-0.6666666666666666,-2.0,-0.8400000000000001,-1.3333333333333333,0.0
10,-0.6818181818181819,-1.0303030303030303,-0.5909090909090908,0.4545454545454546,-0.5454545454545454,-0.6060606060606061,-2.0,-0.7272727272727273,-1.3333333333333333,0.0
11,-0.6666666666666666,-1.111111111111111,-0.6249999999999999,0.41666666666666663,-0.5416666666666666,-0.4583333333333333,-2.0,-0.6333333333333333,-1.3333333333333333,0.0
12,-0.653846153846154,-1.1794871794871795,-0.6538461538461539,0.15384615384615385,-0.5384615384615385,-0.4,-0.9230769230769231,-0.5538461538461539,-1.3333333333333333,0.0
13,-0.6428571428571428,-0.9285714285714284,-0.6785714285714285,0.047619047619047596,-0.39999999999999997,-0.4285714285714285,-0.8571428571428571,-0.4857142857142856,-1.3333333333333333,0.0
14,-0.6333333333333333,-0.9666666666666666,-0.7,-0.044444444444444474,-0.37333333333333335,-0.4533333333333333,-0.8,-0.42666666666666675,-1.3333333333333333,0.0
15,-0.625,-1.0,-0.71875,-0.125,-0.35,-0.3541666666666667,-0.5416666666666666,-0.375,-1.3333333333333333,0.0
16,-0.6176470588235294,-1.0294117647058822,-0.7352941176470588,-0.19607843137254902,-0.32941176470588235,-0.3333333333333333,-0.5490196078431372,-0.3294117647058823,-1.3333333333333333,-0.050420168067226885
17,-0.6111111111111112,-1.0555555555555556,-0.75,-0.1388888888888889,-0.3111111111111111,-0.3148148148148148,-0.5555555555555555,-0.29629629629629634,-1.3333333333333333,-0.09523809523809523
18,-0.6052631578947368,-1.0789473684210527,-0.763157894736842,-0.13157894736842105,-0.2947368421052632,-0.2982456140350877,-0.5614035087719298,-0.31578947368421056,-1.3333333333333333,-0.13533834586466165
19,-0.6000000000000001,-0.86,-0.6000000000000001,-0.125,-0.28,-0.2833333333333334,-0.5666666666666668,-0.3333333333333333,-1.3333333333333333,-0.17142857142857146
20,-0.5952380952380951,-0.857142857142857,-0.5904761904761905,-0.11904761904761904,-0.2539682539682539,-0.2698412698412698,-0.5714285714285714,-0.34920634920634913,-1.3333333333333333,-0.16666666666666666
21,-0.5909090909090909,-0.8545454545454545,-0.5818181818181818,-0.11363636363636365,-0.2337662337662338,-0.23376623376623376,-0.5757575757575757,-0.2987012987012987,-1.3333333333333333,-0.18181818181818182
22,-0.5869565217391304,-0.8521739130434781,-0.5739130434782609,-0.10869565217391304,-0.2484472049689441,-0.23602484472049687,-0.5797101449275363,-0.2981366459627329,-1.3333333333333333,-0.19565217391304346
23,-0.5833333333333333,-0.85,-0.5666666666666667,-0.10416666666666666,-0.2619047619047619,-0.23809523809523808,-0.5833333333333334,-0.2708333333333333,-1.3333333333333333,-0.20833333333333331
24,-0.58,-0.8480000000000001,-0.56,-0.1,-0.24000000000000002,-0.24,-0.5866666666666667,-0.28,-0.96,-0.22
25,-0.576923076923077,-0.8461538461538464,-0.4871794871794873,-0.09615384615384616,-0.25,-0.2417582417582418,-0.48076923076923084,-0.2884615384615385,-0.9615384615384616,-0.23076923076923078
26,-0.5740740740740741,-0.8444444444444444,-0.5061728395061729,-0.09259259259259259,-0.25925925925925924,-0.24338624338624334,-0.5185185185185185,-0.2962962962962963,-0.962962962962963,-0.24074074074074073
27,-0.5714285714285714,-0.8428571428571427,-0.42857142857142855,-0.08928571428571427,-0.23809523809523808,-0.21428571428571427,-0.5535714285714285,-0.30357142857142855,-0.9642857142857142,-0.25
28,-0.5689655172413793,-0.8413793103448276,-0.4236453201970443,-0.08275862068965519,-0.24521072796934865,-0.1992337164750958,-0.5862068965517241,-0.31034482758620685,-0.9655172413793104,-0.25862068965517243
29,-0.5666666666666667,-0.8400000000000001,-0.375,-0.09333333333333334,-0.2518518518518518,-0.2074074074074074,-0.6166666666666667,-0.31666666666666665,-0.7866666666666667,-0.26666666666666666
30,-0.564516129032258,-0.8387096774193548,-0.33691756272401435,-0.1032258064516129,-0.25806451612903225,-0.21505376344086022,-0.6451612903225806,-0.3225806451612903,-0.8,-0.27419354838709675
31,-0.5625,-0.8375,-0.3,-0.1125,-0.2638888888888889,-0.2222222222222222,-0.671875,-0.328125,-0.8125,-0.28125
32,-0.5606060606060606,-0.6969696969696969,-0.296969696969697,-0.12121212121212122,-0.24242424242424243,-0.22895622895622894,-0.696969696969697,-0.2828282828282828,-0.8242424242424242,-0.28787878787878785
33,-0.5588235294117647,-0.6960784313725489,-0.2941176470588235,-0.12941176470588234,-0.24705882352941178,-0.23529411764705876,-0.7205882352941176,-0.27450980392156865,-0.676470588235294,-0.2941176470588235
34,-0.5571428571428572,-0.6952380952380951,-0.2914285714285714,-0.13714285714285715,-0.25142857142857145,-0.24126984126984125,-0.7428571428571429,-0.26666666666666666,-0.6666666666666666,-0.3
35,-0.5555555555555556,-0.6944444444444445,-0.28888888888888886,-0.14444444444444443,-0.25555555555555554,-0.2469135802469136,-0.7638888888888888,-0.2444444444444444,-0.6574074074074073,-0.3055555555555555
36,-0.5540540540540541,-0.6936936936936937,-0.28648648648648645,-0.15135135135135136,-0.2594594594594595,-0.25225225225225223,-0.6162162162162161,-0.24864864864864863,-0.6486486486486487,-0.31081081081081086
37,-0.5526315789473684,-0.6929824561403509,-0.28421052631578947,-0.15789473684210525,-0.2631578947368421,-0.2573099415204678,-0.6210526315789474,-0.25263157894736843,-0.6403508771929823,-0.3157894736842105
38,-0.5512820512820513,-0.6923076923076922,-0.28205128205128205,-0.1641025641025641,-0.26666666666666666,-0.2621082621082621,-0.6256410256410255,-0.2564102564102564,-0.6324786324786325,-0.3205128205128205
39,-0.55,-0.6916666666666665,-0.28,-0.13333333333333333,-0.27,-0.24000000000000005,-0.63,-0.26,-0.6250000000000001,-0.325
40,-0.5487804878048781,-0.6910569105691057,-0.2780487804878049,-0.13008130081300814,-0.24833702882483372,-0.2439024390243903,-0.6341463414634146,-0.2634146341463415,-0.6178861788617886,-0.32926829268292684
41,-0.5476190476190476,-0.6904761904761904,-0.27619047619047615,-0.12698412698412698,-0.2510822510822511,-0.22510822510822506,-0.5317460317460317,-0.26666666666666666,-0.611111111111111,-0.33333333333333326
42,-0.5465116279069767,-0.689922480620155,-0.27441860465116286,-0.12403100775193798,-0.23643410852713176,-0.21317829457364343,-0.5348837209302325,-0.2367864693446089,-0.6046511627906977,-0.3372093023255814
43,-0.5454545454545454,-0.6893939393939394,-0.2727272727272727,-0.1038961038961039,-0.24242424242424243,-0.21969696969696964,-0.537878787878788,-0.23140495867768596,-0.5984848484848485,-0.29797979797979796
44,-0.5444444444444445,-0.688888888888889,-0.27111111111111114,-0.10158730158730159,-0.24814814814814815,-0.2259259259259259,-0.5407407407407409,-0.22626262626262628,-0.5925925925925926,-0.29629629629629634
45,-0.5434782608695652,-0.6884057971014492,-0.26956521739130435,-0.09782608695652174,-0.25362318840579706,-0.2318840579710145,-0.5434782608695653,-0.2213438735177866,-0.5869565217391305,-0.2739130434782609
